File ID,Temperature (K),G,Pressure (bar),theta,V(cm3/g)
24,298.15,-69.97301259,0.8,1.0,1837.9075660335475
24,298.15,-69.97301259,0.9,1.0,1837.9075660335475
24,298.15,-69.97301259,1.0,1.0,1837.9075660335475
24,298.15,-69.97301259,1.1,1.0,1837.9075660335475
25,298.15,-58.22100531,0.1,1.0,1841.9690183670955
25,298.15,-58.22100531,0.2,1.0,1841.9690183670955
25,298.15,-58.22100531,0.3,1.0,1841.9690183670955
25,298.15,-58.22100531,0.4,1.0,1841.9690183670955
25,298.15,-58.22100531,0.5,1.0,1841.9690183670955
25,298.15,-58.22100531,0.6,1.0,1841.9690183670955
25,298.15,-58.22100531,0.7,1.0,1841.9690183670955
25,298.15,-58.22100531,0.8,1.0,1841.9690183670955
25,298.15,-58.22100531,0.9,1.0,1841.9690183670955
25,298.15,-58.22100531,1.0,1.0,1841.9690183670955
25,298.15,-58.22100531,1.1,1.0,1841.9690183670955
26,298.15,3.49334817,0.1,0.000274774,0.5077682385167933
26,298.15,3.49334817,0.2,0.000549397,1.015257436789546
26,298.15,3.49334817,0.3,0.000823869,1.5224675948182578
26,298.15,3.49334817,0.4,0.00109819,2.029398712602929
26,298.15,3.49334817,0.5,0.001372361,2.5360526380921957
26,298.15,3.49334817,0.6,0.001646381,3.0424275233374214
26,298.15,3.49334817,0.7,0.001920251,3.548525216287243
26,298.15,3.49334817,0.8,0.002193971,4.0543457169416595
26,298.15,3.49334817,0.9,0.002467541,4.559889025300672
26,298.15,3.49334817,1.0,0.00274096,5.065153293415643
26,298.15,3.49334817,1.1,0.00301423,5.570142217183846
27,298.15,-11.77083258,0.1,0.999999977,1828.9490710603116
27,298.15,-11.77083258,0.2,0.999999988,1828.9490911787518
27,298.15,-11.77083258,0.3,0.999999992,1828.9490984945483
27,298.15,-11.77083258,0.4,0.999999994,1828.9491021524464
27,298.15,-11.77083258,0.5,0.999999995,1828.9491039813956
27,298.15,-11.77083258,0.6,0.999999996,1828.9491058103447
27,298.15,-11.77083258,0.7,0.999999997,1828.949107639294
27,298.15,-11.77083258,0.8,0.999999997,1828.949107639294
27,298.15,-11.77083258,0.9,0.999999997,1828.949107639294
27,298.15,-11.77083258,1.0,0.999999998,1828.9491094682428
