File ID,Temperature (K),G,Pressure (bar),theta,V(cm3/g),wt%
26,77,0.98205315,0.1,0.000163053,0.3013135689507694,0.0027100548444124167
26,77,0.98205315,0.2,0.000326052,0.6025273486751931,0.005419065360069162
26,77,0.98205315,0.3,0.000488998,0.9036431871219072,0.008127048323228764
26,77,0.98205315,0.4,0.000651891,1.2046610842909116,0.010834003888929139
26,77,0.98205315,0.5,0.000814731,1.505581040182206,0.013539932212137116
26,77,0.98205315,0.6,0.000977518,1.806403054795791,0.01624483344774846
26,77,0.98205315,0.7,0.001140252,2.107127128131667,0.018948707750587896
26,77,0.98205315,0.8,0.001302933,2.407753260189833,0.021651555275409132
26,77,0.98205315,0.9,0.001465561,2.7082814509702886,0.024353376176894887
26,77,0.98205315,1.0,0.001628136,3.008711700473036,0.027054170609656893
26,77,0.98205315,1.1,0.001790658,3.3090440086980726,0.029753938728235958
27,77,-15.85215762,0.1,1.0,1828.949113126141,14.126426613178708
27,77,-15.85215762,0.2,1.0,1828.949113126141,14.126426613178708
27,77,-15.85215762,0.3,1.0,1828.949113126141,14.126426613178708
27,77,-15.85215762,0.4,1.0,1828.949113126141,14.126426613178708
27,77,-15.85215762,0.5,1.0,1828.949113126141,14.126426613178708
27,77,-15.85215762,0.6,1.0,1828.949113126141,14.126426613178708
27,77,-15.85215762,0.7,1.0,1828.949113126141,14.126426613178708
27,77,-15.85215762,0.8,1.0,1828.949113126141,14.126426613178708
27,77,-15.85215762,0.9,1.0,1828.949113126141,14.126426613178708
27,77,-15.85215762,1.0,1.0,1828.949113126141,14.126426613178708
27,77,-15.85215762,1.1,1.0,1828.949113126141,14.126426613178708
28,77,-67.59161214,0.1,1.0,1829.2315838819943,14.12830011555192
28,77,-67.59161214,0.2,1.0,1829.2315838819943,14.12830011555192
28,77,-67.59161214,0.3,1.0,1829.2315838819943,14.12830011555192
28,77,-67.59161214,0.4,1.0,1829.2315838819943,14.12830011555192
28,77,-67.59161214,0.5,1.0,1829.2315838819943,14.12830011555192
28,77,-67.59161214,0.6,1.0,1829.2315838819943,14.12830011555192
28,77,-67.59161214,0.7,1.0,1829.2315838819943,14.12830011555192
28,77,-67.59161214,0.8,1.0,1829.2315838819943,14.12830011555192
28,77,-67.59161214,0.9,1.0,1829.2315838819943,14.12830011555192
28,77,-67.59161214,1.0,1.0,1829.2315838819943,14.12830011555192
28,77,-67.59161214,1.1,1.0,1829.2315838819943,14.12830011555192
29,77,-9.44465301,0.1,1.0,1827.7746065399983,14.118635758806638
